問題番号,カテゴリ,分野,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解,解説
1,人体の構成,細胞,細胞について誤っている組合せはどれか,核―ミトコンドリア,細胞質―細胞小器官,卵子―X染色体,生殖細胞―減数分裂,1,核はDNAを保持する細胞核であり、ミトコンドリアはATP産生を行う細胞小器官であるため同一カテゴリの組合せとして誤り。他は細胞質は細胞小器官を含み、生殖細胞は減数分裂を行うため正しい。卵子はX染色体を持つため正しい。
2,人体の構成,膜輸送,膜輸送で正しいのはどれか,単純拡散は濃度勾配に逆行する,促通拡散はATPを使用する,食作用は細胞膜が物質を包み込む,能動輸送はATPを使わない,3,食作用は細胞膜で物質を包み込むエンドサイトーシスであり正しい。単純拡散は濃度勾配に従うため逆は誤り。促通拡散はATP不要。能動輸送はATPを必要とするため誤り。
3,人体の構成,染色体,人の染色体で正しいのはどれか,常染色体は46本,性染色体は2本,精子は46本,精子はX染色体を2本持つ,2,ヒト体細胞は46本（44+2）であり性染色体は2本が正しい。常染色体は44本。精子は23本でありXまたはYのどちらか1本のみ。
4,人体の構成,細胞分裂,染色体が両極へ移動する時期はどれか,前期,中期,後期,終期,3,後期では姉妹染色分体が分離して両極へ移動する。中期は赤道面整列、前期は核膜崩壊、終期は核の再形成が起こる。
5,人体の構成,遺伝,受精卵が両親からほぼ同量受け取るのはどれか,リボソーム,小胞体,ミトコンドリア,染色体,4,染色体は父母から半分ずつ受け継ぐため正しい。ミトコンドリアは母由来。リボソームや小胞体は受精後に形成されるため直接等しく受け継ぐものではない。
6,人体の構成,細胞分裂,染色体が赤道面に並ぶのはどれか,前期,中期,後期,終期,2,染色体が赤道面（赤道板）に整列するのは中期である。後期は染色体が両極へ移動する段階であり、この違いは頻出のひっかけポイント。前期は核膜崩壊、終期は核再形成。
7,人体の構成,細胞分裂,細胞分裂時に消失するのはどれか,核膜,染色体,中心体,ミトコンドリア,1,核膜は前期に崩壊して染色体が紡錘糸にアクセスできるようになる。染色体や中心体、ミトコンドリアは消失せず構造として存在するため誤り。
8,人体の構成,上皮,最も伸縮性の高い上皮はどれか,単層扁平上皮,重層扁平上皮,単層円柱上皮,移行上皮,4,移行上皮は膀胱などで伸縮する特殊な上皮であり正解。単層扁平上皮はガス交換に適し薄い構造、重層扁平上皮は保護作用、単層円柱上皮は分泌・吸収に関与する。
9,人体の構成,上皮,卵管上皮はどれか,線毛上皮,移行上皮,単層立方上皮,単層扁平上皮,1,卵管上皮は線毛上皮であり卵子を子宮へ運ぶ役割がある。移行上皮は膀胱、単層立方上皮は腎尿細管など、単層扁平上皮は血管や肺胞にみられる。
10,人体の構成,上皮,腹膜を形成する上皮はどれか,移行上皮,円柱上皮,線毛上皮,扁平上皮,4,腹膜は中皮と呼ばれる単層扁平上皮で構成される。移行上皮は尿路系、円柱上皮は消化管、線毛上皮は気道などに存在する。
11,人体の構成,接着装置,細胞間接着装置で細胞間隙を閉鎖し物質の通過を防ぐのはどれか,接着帯,タイト結合,ギャップ結合,デスモソーム,2,タイト結合は細胞と細胞の隙間を密着させ水や分子の通過を防ぐバリア機能を持つ。接着帯やデスモソームは機械的結合、ギャップ結合は物質の通過を可能にする。
13,人体の構成,靭帯,弾性線維を多く含むのはどれか,前縦靭帯,後縦靭帯,黄色靭帯,環椎横靭帯,3,黄色靭帯は弾性線維が豊富で伸縮性に優れるため脊柱の運動を補助する。
14,人体の構成,結合組織,結合組織の細胞について正しいのはどれか,形質細胞はTリンパ球由来,大食細胞はリソソームが多い,脂肪細胞はコレステロールで満たされる,肥満細胞は中性脂肪が多い,2,形質細胞はBリンパ球由来。大食細胞は貪食機能のためリソソームが豊富で正しい。脂肪細胞は中性脂肪が主。肥満細胞はヒスタミン顆粒を持つ。
15,人体の構成,血液,血液中で最も数が多い白血球はどれか,好中球,好酸球,リンパ球,単球,1,好中球は全白血球の約50〜70％を占める。好酸球はアレルギー、リンパ球は免疫、単球はマクロファージへ分化する。
16,運動器（骨系）,骨,長骨の構造で正しいのはどれか,海綿質は骨幹にある,フォルクマン管は骨長軸方向,ハバース管には血管が通る,骨小腔は骨髄で満たされる,3,ハバース管には血管や神経が通り骨の栄養供給を行う。海綿質は骨端に多い。フォルクマン管は横方向。骨小腔には骨細胞が存在する。
17,運動器（骨系）,関節,線維軟骨を有するのはどれか,耳管,気管支,耳介,椎間円板,4,椎間円板は線維軟骨で圧力を吸収する。耳管や耳介は弾性軟骨、気管支は硝子軟骨。
18,運動器（骨系）,骨化,膜内骨化によって形成される骨はどれか,前頭骨,上腕骨,肋骨,腸骨,1,前頭骨などの頭蓋骨は膜内骨化。上腕骨や肋骨、腸骨は軟骨内骨化。
19,運動器（骨系）,骨,骨について誤っている記述はどれか,骨端軟骨は硝子軟骨である,頭頂骨は軟骨内骨化する,黄色骨髄は脂肪組織である,骨膜は密性結合組織である,2,頭頂骨は膜内骨化で形成される。他は正しい。
20,運動器（筋系）,筋,骨格筋細胞の形成の特徴で誤っているのはどれか,長さは数cmに達する,紡錘形である,横紋構造をもつ,多数の核をもつ,2,骨格筋は円柱状で多核・横紋構造を持つ。紡錘形は平滑筋の特徴。
21,運動器（筋系）,筋,横紋筋線維でできているのはどれか,瞳孔括約筋,幽門括約筋,尿道括約筋,膀胱収縮筋,3,横紋筋＝骨格筋で随意筋である。尿道括約筋は骨格筋で横紋を持つため正しい。瞳孔括約筋・幽門括約筋・膀胱筋は平滑筋であり横紋を持たない。この区別は頻出。
22,運動器（筋系）,筋,筋細胞について正しいのはどれか,平滑筋は介在板で連結する,心筋は大動脈壁に多い,心筋はギャップ結合を持つ,筋小胞体はNaが多い,3,心筋細胞は電気的結合のためギャップ結合を持ち同期収縮する。介在板は心筋に存在し平滑筋ではない。心筋は心臓壁、筋小胞体はCaを多く含む。
23,人体の構成,神経,髄鞘を形成する細胞はどれか,星状膠細胞,プルキンエ細胞,シュワン細胞,線維芽細胞,3,シュワン細胞は末梢神経で髄鞘を形成する。星状膠細胞は支持やBBB形成、プルキンエ細胞は小脳ニューロン、線維芽細胞は結合組織細胞。
24,人体の構成,神経,神経組織の構成に関与しない細胞はどれか,ニューロン,グリア細胞,シュワン細胞,クッパー細胞,4,クッパー細胞は肝臓に存在するマクロファージであり神経組織とは無関係。他は神経組織に関与。
25,人体の構成,神経,末梢神経の髄鞘形成に関与するのはどれか,外套細胞,神経細胞,神経膠細胞,シュワン細胞,4,末梢神経（PNS）の髄鞘はシュワン細胞が形成する。中枢では希突起膠細胞が担当する。
26,人体の構成,神経,血液脳関門（BBB）形成に関与するのはどれか,上衣細胞,希突起膠細胞,星状膠細胞,小膠細胞,3,血液脳関門は毛細血管内皮と星状膠細胞の足突起によって形成される。希突起膠細胞は髄鞘形成、小膠細胞は免疫担当。
27,人体の構成,中枢神経,中枢神経で正しいのはどれか,白質は神経細胞体が多い,グリア細胞はニューロンと同数,星状膠細胞は外胚葉由来でない,シュワン細胞が髄鞘を作る,1,白質は有髄神経線維が集まる部位。灰白質に細胞体が多い。シュワン細胞は末梢神経で作用する。
28,人体の構成,神経,中枢神経系で髄鞘を形成する細胞はどれか,上衣細胞,小膠細胞,星状膠細胞,希突起膠細胞,4,中枢神経では希突起膠細胞（オリゴデンドロサイト）が髄鞘を形成する。末梢ではシュワン細胞。
29,人体の構成,皮膚,皮膚について正しいのはどれか,パチニ小体は表皮にある,アポクリン汗腺は全身に分布する,爪は真皮由来である,手掌には脂腺がない,4,手掌や足底には脂腺が存在しない。パチニ小体は真皮深層〜皮下、アポクリンは腋窩など限局。
30,人体の構成,皮膚,受容器について正しいのはどれか,膨大部稜は触覚受容器,コルチ器は聴覚受容器,マイスナー小体は嗅覚受容器,自由神経終末は平衡受容器,2,コルチ器は蝸牛にあり聴覚受容器。膨大部稜は平衡覚、マイスナー小体は触覚、自由神経終末は痛覚・温度覚。
32,人体の構成,皮膚,血管が存在しないのはどれか,表皮,真皮,皮下組織,筋膜,1,表皮には血管が存在せず真皮から拡散で栄養される。
33,人体の構成,皮膚,誤っているのはどれか,メルケル細胞は表皮に存在する,メラノサイトは基底層にある,立毛筋は副交感神経支配である,爪母は表皮に属する,3,立毛筋は交感神経支配。その他は正しい。
